Output data:
OUT[0][0][0] = 29762368.000000
OUT[0][0][1] = 44421472.000000
OUT[0][0][2] = 44428480.000000
OUT[0][0][3] = 44435484.000000
OUT[0][0][4] = 44442496.000000
OUT[0][0][5] = 44449504.000000
OUT[0][0][6] = 44456512.000000
OUT[0][0][7] = 44463512.000000
OUT[0][0][8] = 44470528.000000
OUT[0][0][9] = 44477536.000000
OUT[0][0][10] = 44484544.000000
OUT[0][0][11] = 44491548.000000
OUT[0][0][12] = 44498560.000000
OUT[0][0][13] = 44505568.000000
OUT[0][0][14] = 44512576.000000
OUT[0][0][15] = 44519576.000000
OUT[0][1][0] = 44526592.000000
OUT[0][1][1] = 44533600.000000
OUT[0][1][2] = 44540608.000000
OUT[0][1][3] = 44547612.000000
OUT[0][1][4] = 44554624.000000
OUT[0][1][5] = 44561632.000000
OUT[0][1][6] = 44568640.000000
OUT[0][1][7] = 44575640.000000
OUT[0][1][8] = 29568256.000000
OUT[0][1][9] = 44056080.000000
OUT[0][1][10] = 65749984.000000
OUT[0][1][11] = 65760284.000000
OUT[0][1][12] = 65770592.000000
OUT[0][1][13] = 65780880.000000
OUT[0][1][14] = 65791168.000000
OUT[0][1][15] = 65801448.000000
OUT[0][2][0] = 65811776.000000
OUT[0][2][1] = 65822064.000000
OUT[0][2][2] = 65832352.000000
OUT[0][2][3] = 65842652.000000
OUT[0][2][4] = 65852960.000000
OUT[0][2][5] = 65863248.000000
OUT[0][2][6] = 65873536.000000
OUT[0][2][7] = 65883816.000000
OUT[0][2][8] = 65894144.000000
OUT[0][2][9] = 65904432.000000
OUT[0][2][10] = 65914720.000000
OUT[0][2][11] = 65925020.000000
OUT[0][2][12] = 65935328.000000
OUT[0][2][13] = 65945616.000000
OUT[0][2][14] = 65955904.000000
OUT[0][2][15] = 65966184.000000
OUT[0][3][0] = 65976512.000000
OUT[0][3][1] = 43760408.000000
OUT[0][3][2] = 44228876.000000
OUT[0][3][3] = 66007388.000000
OUT[0][3][4] = 66017696.000000
OUT[0][3][5] = 66027984.000000
OUT[0][3][6] = 66038272.000000
OUT[0][3][7] = 66048552.000000
OUT[0][3][8] = 66058880.000000
OUT[0][3][9] = 66069168.000000
OUT[0][3][10] = 66079456.000000
OUT[0][3][11] = 66089756.000000
OUT[0][3][12] = 66100064.000000
OUT[0][3][13] = 66110352.000000
OUT[0][3][14] = 66120640.000000
OUT[0][3][15] = 66130920.000000
OUT[0][4][0] = 66141248.000000
OUT[0][4][1] = 66151536.000000
OUT[0][4][2] = 66161824.000000
OUT[0][4][3] = 66172124.000000
OUT[0][4][4] = 66182432.000000
OUT[0][4][5] = 66192720.000000
OUT[0][4][6] = 66203008.000000
OUT[0][4][7] = 66213288.000000
OUT[0][4][8] = 66223616.000000
OUT[0][4][9] = 66233904.000000
OUT[0][4][10] = 43930796.000000
OUT[0][4][11] = 44401676.000000
OUT[0][4][12] = 66264800.000000
OUT[0][4][13] = 66275088.000000
OUT[0][4][14] = 66285376.000000
OUT[0][4][15] = 66295656.000000
OUT[0][5][0] = 66305984.000000
OUT[0][5][1] = 66316272.000000
OUT[0][5][2] = 66326560.000000
OUT[0][5][3] = 66336860.000000
OUT[0][5][4] = 66347168.000000
OUT[0][5][5] = 66357456.000000
OUT[0][5][6] = 66367744.000000
OUT[0][5][7] = 66378024.000000
OUT[0][5][8] = 66388352.000000
OUT[0][5][9] = 66398640.000000
OUT[0][5][10] = 66408928.000000
OUT[0][5][11] = 66419228.000000
OUT[0][5][12] = 66429536.000000
OUT[0][5][13] = 66439824.000000
OUT[0][5][14] = 66450112.000000
OUT[0][5][15] = 66460392.000000
OUT[0][6][0] = 66470720.000000
OUT[0][6][1] = 66481008.000000
OUT[0][6][2] = 66491296.000000
OUT[0][6][3] = 44101200.000000
OUT[0][6][4] = 44574484.000000
OUT[0][6][5] = 66522192.000000
OUT[0][6][6] = 66532480.000000
OUT[0][6][7] = 66542760.000000
OUT[0][6][8] = 66553088.000000
OUT[0][6][9] = 66563376.000000
OUT[0][6][10] = 66573664.000000
OUT[0][6][11] = 66583964.000000
OUT[0][6][12] = 66594272.000000
